word,display_form,part_of_speech,frequency_rank,source
adeptness,adeptness,,,
adherent,adherent,,,
adhesion,adhesion,,,
adiposis,adiposis,,,
adjoin,adjoin,,,
adjudicate,adjudicate,,,
adjure,adjure,,,
adjuvant,adjuvant,,,
administrate,administrate,,,
admirer,admirer,,,
admit,admit,,,
adopt,adopt,,,
adoring,adoring,,,
adulthood,adulthood,,,
advance,advance,,,
advanced,advanced,,,
advantage,advantage,,,
adventure,adventure,,,
adventuresome,adventuresome,,,
adversity,adversity,,,
advert,advert,,,
advise,advise,,,
advocator,advocator,,,
aeon,aeon,,,
aeonian,aeonian,,,
aerial,aerial,,,
aeriform,aeriform,,,
aery,aery,,,
aesthesis,aesthesis,,,
aesthetical,aesthetical,,,
affable,affable,,,
affair,affair,,,
affaire,affaire,,,
affect,affect,,,
affectedness,affectedness,,,
affecting,affecting,,,
affectionate,affectionate,,,
affectionateness,affectionateness,,,
affiance,affiance,,,
affiliate,affiliate,,,
affix,affix,,,
afford,afford,,,
affranchise,affranchise,,,
affray,affray,,,
affright,affright,,,
ageless,ageless,,,
aggrandise,aggrandise,,,
aggrandize,aggrandize,,,
aggregated,aggregated,,,
aggregative,aggregative,,,
aggressiveness,aggressiveness,,,
agitate,agitate,,,
aglow,aglow,,,
agonising,agonising,,,
agonizing,agonizing,,,
agree,agree,,,
agreeing,agreeing,,,
agreement,agreement,,,
agricultural,agricultural,,,
aim,aim,,,
air,air,,,
air castle,air castle,,,
air out,air out,,,
airdock,airdock,,,
airing,airing,,,
airt,airt,,,
airy,airy,,,
alarm,alarm,,,
alert,alert,,,
alien,alien,,,
alignment,alignment,,,
aliment,aliment,,,
alimental,alimental,,,
alimentary,alimentary,,,
alimentation,alimentation,,,
alinement,alinement,,,
all the same,all the same,,,
allay,allay,,,
allegory,allegory,,,
alleviant,alleviant,,,
alleviate,alleviate,,,
alleviator,alleviator,,,
allocation,allocation,,,
allotment,allotment,,,
allure,allure,,,
allurement,allurement,,,
alluvion,alluvion,,,
alone,alone,,,
alterative,alterative,,,
alternate,alternate,,,
altruist,altruist,,,
amalgamate,amalgamate,,,
amalgamation,amalgamation,,,
amass,amass,,,
amative,amative,,,
amaze,amaze,,,
amazement,amazement,,,
amazing,amazing,,,
ambage,ambage,,,
ambivalency,ambivalency,,,
ambo,ambo,,,
ambuscade,ambuscade,,,
ambush,ambush,,,
amend,amend,,,
amends,amends,,,
amiable,amiable,,,
ammunition,ammunition,,,
amount,amount,,,
amount of money,amount of money,,,
amour,amour,,,
amour propre,amour propre,,,
ample,ample,,,
amplification,amplification,,,
amusement,amusement,,,
amusing,amusing,,,
anachronic,anachronic,,,
anachronous,anachronous,,,
anaemia,anaemia,,,
analysis,analysis,,,
ancestor,ancestor,,,
ancient,ancient,,,
anecdotist,anecdotist,,,
animadversion,animadversion,,,
animal,animal,,,
annihilate,annihilate,,,
announce,announce,,,
annoy,annoy,,,
annoyance,annoyance,,,
annul,annul,,,
annunciate,annunciate,,,
anomalousness,anomalousness,,,
anonym,anonym,,,
antagonise,antagonise,,,
antagonist,antagonist,,,
antecede,antecede,,,
antechamber,antechamber,,,
antedate,antedate,,,
antediluvian,antediluvian,,,
antediluvian patriarch,antediluvian patriarch,,,
anteroom,anteroom,,,
anthropophagite,anthropophagite,,,
anthropophagus,anthropophagus,,,
anti-intellectual,anti-intellectual,,,
antic,antic,,,
anticipate,anticipate,,,
anticipation,anticipation,,,
antipathetic,antipathetic,,,
antipathetical,antipathetical,,,
antipathy,antipathy,,,
antiquated,antiquated,,,
anxiousness,anxiousness,,,
apart,apart,,,
apartness,apartness,,,
apathetic,apathetic,,,
ape,ape,,,
aperient,aperient,,,
apocalyptical,apocalyptical,,,
apologise,apologise,,,
apologue,apologue,,,
apophthegm,apophthegm,,,
apothegm,apothegm,,,
appal,appal,,,
appall,appall,,,
appalled,appalled,,,
apparel,apparel,,,
appear,appear,,,
appendage,appendage,,,
applaudable,applaudable,,,
applauder,applauder,,,
apply,apply,,,
apportion,apportion,,,
apportioning,apportioning,,,
apposition,apposition,,,
apprehend,apprehend,,,
apprehensible,apprehensible,,,
apprehensiveness,apprehensiveness,,,
apprize,apprize,,,
approval,approval,,,
approve,approve,,,
appurtenant,appurtenant,,,
apt,apt,,,
arbitrariness,arbitrariness,,,
arbitrate,arbitrate,,,
arbor,arbor,,,
arborary,arborary,,,
arborical,arborical,,,
arborous,arborous,,,
arbour,arbour,,,
arcadian,arcadian,,,
arch,arch,,,
archpriest,archpriest,,,
ardor,ardor,,,
ardour,ardour,,,
area,area,,,
arena,arena,,,
argot,argot,,,
arguing,arguing,,,
argument,argument,,,
argus-eyed,argus-eyed,,,
arise,arise,,,
aristocracy,aristocracy,,,
armed combat,armed combat,,,
armistice,armistice,,,
armory,armory,,,
armoury,armoury,,,
aroma,aroma,,,
aromatic; suggestive,aromatic; suggestive,,,
around the bend,around the bend,,,
arouse,arouse,,,
arrested development,arrested development,,,
arrogate,arrogate,,,
art,art,,,
artefact,artefact,,,
artful,artful,,,
article of faith,article of faith,,,
artificer,artificer,,,
artless,artless,,,
artlessness,artlessness,,,
as yet,as yet,,,
ascendent,ascendent,,,
ascertain,ascertain,,,
asceticism,asceticism,,,
ascription,ascription,,,
ashen,ashen,,,
aside,aside,,,
asinine,asinine,,,
ask,ask,,,
aspect,aspect,,,
asperity,asperity,,,
asperse,asperse,,,
asphyxiate,asphyxiate,,,
aspiration,aspiration,,,
ass-kisser,ass-kisser,,,
assault,assault,,,
assemblage,assemblage,,,
asseverate,asseverate,,,
assign,assign,,,
assignation,assignation,,,
assignment,assignment,,,
associate,associate,,,
association,association,,,
assoil,assoil,,,
assort,assort,,,
assorted,assorted,,,
assortment,assortment,,,
assuage,assuage,,,
assume,assume,,,
assumed name,assumed name,,,
assuming,assuming,,,
assumptive,assumptive,,,
assuredness,assuredness,,,
astonish,astonish,,,
astringent,astringent,,,
astuteness,astuteness,,,
at hand,at hand,,,
atavist,atavist,,,
atom,atom,,,
atrociousness,atrociousness,,,
attach,attach,,,
attach to,attach to,,,
attachment,attachment,,,
attack,attack,,,
attaint,attaint,,,
attempt,attempt,,,
attendant,attendant,,,
attest,attest,,,
attract,attract,,,
attractiveness,attractiveness,,,
attribute,attribute,,,
audacious,audacious,,,
audaciousness,audaciousness,,,
audacity,audacity,,,
audience,audience,,,
augur,augur,,,
aureate,aureate,,,
auspicate,auspicate,,,
austere,austere,,,
authorisation,authorisation,,,
authoritarianism,authoritarianism,,,
authorities,authorities,,,
authority,authority,,,
authorization,authorization,,,
autochthonal,autochthonal,,,
autochthonic,autochthonic,,,
autochthonous,autochthonous,,,
autocrat,autocrat,,,
autocratic,autocratic,,,
automatise,automatise,,,
automatize,automatize,,,
autonomy,autonomy,,,
auxiliary,auxiliary,,,
avariciousness,avariciousness,,,
avaritia,avaritia,,,
avatar,avatar,,,
aver,aver,,,
avoid,avoid,,,
avouchment,avouchment,,,
avowal,avowal,,,
award,award,,,
awareness,awareness,,,
aweary,aweary,,,
awful,awful,,,
awkward,awkward,,,
awkwardness,awkwardness,,,
awry,awry,,,
axiom,axiom,,,
baby,baby,,,
back,back,,,
back-to-back,back-to-back,,,
backbreaking,backbreaking,,,
backchat,backchat,,,
backdown,backdown,,,
backfire,backfire,,,
backing,backing,,,
backup,backup,,,
bad,bad,,,
bad blood,bad blood,,,
bad luck,bad luck,,,
bad-mannered,bad-mannered,,,
bad-tasting,bad-tasting,,,
badgerer,badgerer,,,
badmouth,badmouth,,,
badness,badness,,,
baffle,baffle,,,
baffling,baffling,,,
balance,balance,,,
bald-faced,bald-faced,,,
baleful,baleful,,,
balk,balk,,,
ball up,ball up,,,
banality,banality,,,
baneful,baneful,,,
bangle,bangle,,,
banish,banish,,,
bank,bank,,,
bantam,bantam,,,
barbarian,barbarian,,,
barbarity,barbarity,,,
barbarous,barbarous,,,
barbarousness,barbarousness,,,
barde,barde,,,
bare,bare,,,
barefaced,barefaced,,,
barely,barely,,,
barmy,barmy,,,
baron,baron,,,
baron hugh caswall tremenheere dowding,Baron Hugh Caswall Tremenheere Dowding,,,
barrack,barrack,,,
base,base,,,
basic,basic,,,
bastard,bastard,,,
bastion,bastion,,,
batch,batch,,,
bathetic,bathetic,,,
bats,bats,,,
batter,batter,,,
battle,battle,,,
batty,batty,,,
bauble,bauble,,,
baulk,baulk,,,
bawl out,bawl out,,,
bawling out,bawling out,,,
bay,bay,,,
be amiss,be amiss,,,
be bothered,be bothered,,,
be contingent,be contingent,,,
be eligible for something,be eligible for something,,,
be given,be given,,,
be jealous,be jealous,,,
be on cloud nine,be on cloud nine,,,
be proud,be proud,,,
be unfit,be unfit,,,
beaming,beaming,,,
beamy,beamy,,,
bear,bear,,,
bear on,bear on,,,
bear witness,bear witness,,,
beastly,beastly,,,
beat,beat,,,
beat around the bush,beat around the bush,,,
beat back,beat back,,,
beat out,beat out,,,
beat up,beat up,,,
beatify,beatify,,,
beau,beau,,,
beau ideal,beau ideal,,,
beautify,beautify,,,
because,because,,,
bechance,bechance,,,
becharm,becharm,,,
becoming,becoming,,,
bedazzle,bedazzle,,,
bedevil,bedevil,,,
bedlam,bedlam,,,
bedraggled,bedraggled,,,
bee house,bee house,,,
beef,beef,,,
beef up,beef up,,,
beefy,beefy,,,
befool,befool,,,
befuddle,befuddle,,,
beg,beg,,,
begin,begin,,,
beginner,beginner,,,
begrimed,begrimed,,,
beguile,beguile,,,
behavior,behavior,,,
behaviour,behaviour,,,
being,being,,,
belabour,belabour,,,
beleaguer,beleaguer,,,
beleaguering,beleaguering,,,
belie,belie,,,
believable,believable,,,
believeableness,believeableness,,,
belittle,belittle,,,
belittlement,belittlement,,,
belligerency,belligerency,,,
beloved,beloved,,,
belowground,belowground,,,
bemock,bemock,,,
bench vise,bench vise,,,
bequest,bequest,,,
berate,berate,,,
berceuse,berceuse,,,
berserker,berserker,,,
berth,berth,,,
beset,beset,,,
besiege,besiege,,,
besieging,besieging,,,
besmirch,besmirch,,,
besot,besot,,,
best,best,,,
bestir,bestir,,,
bete noire,bete noire,,,
betide,betide,,,
betoken,betoken,,,
better,better,,,
beverage,beverage,,,
bewail,bewail,,,
bewilder,bewilder,,,
bewitch,bewitch,,,
bewray,bewray,,,
beyond doubt,beyond doubt,,,
bid,bid,,,
bide,bide,,,
biff,biff,,,
big businessman,big businessman,,,
biliary,biliary,,,
bilk,bilk,,,
bill of indictment,bill of indictment,,,
billow,billow,,,
binge,binge,,,
bird sanctuary,bird sanctuary,,,
bird’s-eye,bird’s-eye,,,
birth control,birth control,,,
bit,bit,,,
bit by bit,bit by bit,,,
bitch,bitch,,,
bitter conflict,bitter conflict,,,
bitterness,bitterness,,,
blab,blab,,,
blabber,blabber,,,
black,black,,,
black eye,black eye,,,
blackball,blackball,,,
blackguard,blackguard,,,
blackout,blackout,,,
blah,blah,,,
blamable,blamable,,,
blame,blame,,,
blameable,blameable,,,
blameful,blameful,,,
blameless,blameless,,,
blameworthy,blameworthy,,,
blanched,blanched,,,
blandness,blandness,,,
blare,blare,,,
blaring,blaring,,,
blarney,blarney,,,
blasphemous,blasphemous,,,
blast,blast,,,
blazing,blazing,,,
blemish,blemish,,,
blench,blench,,,
blessing,blessing,,,
blight,blight,,,
blighter,blighter,,,
blind,blind,,,
blissfulness,blissfulness,,,
blister,blister,,,
blistering,blistering,,,
blithely unconcerned,blithely unconcerned,,,
block,block,,,
blockade,blockade,,,
blood,blood,,,
bloodless,bloodless,,,
bloomer,bloomer,,,
blooper,blooper,,,
blossom,blossom,,,
blow,blow,,,
blow up,blow up,,,
blowhard,blowhard,,,
blowout,blowout,,,
blowup,blowup,,,
blue,blue,,,
blunder out,blunder out,,,
blunderer,blunderer,,,
blunt,blunt,,,
blurb,blurb,,,
blurt out,blurt out,,,
bluster,bluster,,,
boaster,boaster,,,
bobble,bobble,,,
bod,bod,,,
bodacious,bodacious,,,
bodge,bodge,,,
boding,boding,,,
body,body,,,
body forth,body forth,,,
boil,boil,,,
boisterous,boisterous,,,
bollix,bollix,,,
bollix up,bollix up,,,
bollocks,bollocks,,,
bollocks up,bollocks up,,,
bolster up,bolster up,,,
bombard,bombard,,,
bombardment,bombardment,,,
bon vivant,bon vivant,,,
bond,bond,,,
boner,boner,,,
bonkers,bonkers,,,
bonus,bonus,,,
bony,bony,,,
boo-boo,boo-boo,,,
booby trap,booby trap,,,
booklet,booklet,,,
bookman,bookman,,,
bookworm,bookworm,,,
booster,booster,,,
boot out,boot out,,,
bootlick,bootlick,,,
bootlicking,bootlicking,,,
border,border,,,
boring,boring,,,
borrowed,borrowed,,,
bossy,bossy,,,
botany,botany,,,
botch,botch,,,
botch up,botch up,,,
botcher,botcher,,,
bother,bother,,,
bottom,bottom,,,
bouldered,bouldered,,,
bouldery,bouldery,,,
bound,bound,,,
bound for,bound for,,,
bourgeon,bourgeon,,,
bovid,bovid,,,
bow,bow,,,
bowdlerise,bowdlerise,,,
bowdlerize,bowdlerize,,,
brabble,brabble,,,
brag,brag,,,
bragger,bragger,,,
brain,brain,,,
brain-teaser,brain-teaser,,,
brainiac,brainiac,,,
brainish,brainish,,,
branch,branch,,,
branching,branching,,,
brand,brand,,,
brassy,brassy,,,
brave,brave,,,
brawniness,brawniness,,,
brazen-faced,brazen-faced,,,
bread and butter,bread and butter,,,
break,break,,,
break loose,break loose,,,
break out,break out,,,
break up,break up,,,
breakability,breakability,,,
breast,breast,,,
breathe,breathe,,,
breed,breed,,,
breeze,breeze,,,
bribable,bribable,,,
brickle,brickle,,,
brickly,brickly,,,
bridal,bridal,,,
brilliance,brilliance,,,
brilliancy,brilliancy,,,
bring,bring,,,
bring around,bring around,,,
bring down,bring down,,,
bring forth,bring forth,,,
bring home the bacon,bring home the bacon,,,
bring on,bring on,,,
bring out,bring out,,,
bring up,bring up,,,
brink,brink,,,
broad,broad,,,
broadcast,broadcast,,,
broadside,broadside,,,
brobdingnagian,Brobdingnagian,,,
broken-down,broken-down,,,
brooding,brooding,,,
broody,broody,,,
brother,brother,,,
brumous,brumous,,,
brush,brush,,,
brush aside,brush aside,,,
brush off,brush off,,,
brusk,brusk,,,
brusque,brusque,,,
brutal,brutal,,,
brute,brute,,,
brutish,brutish,,,
buckle under,buckle under,,,
bucolic,bucolic,,,
buddy,buddy,,,
buff,buff,,,
bug,bug,,,
buggy,buggy,,,
bugology,bugology,,,
build,build,,,
built-in,built-in,,,
buirdly,buirdly,,,
bulge,bulge,,,
bulging,bulging,,,
bullying,bullying,,,
bumble,bumble,,,
bumbler,bumbler,,,
bump,bump,,,
bump off,bump off,,,
bunch,bunch,,,
bundle,bundle,,,
bungle,bungle,,,
buoyant,buoyant,,,
burbling,burbling,,,
burbly,burbly,,,
burdensome,burdensome,,,
bureaucratism,bureaucratism,,,
burgeon forth,burgeon forth,,,
burlesque,burlesque,,,
burn,burn,,,
bury,bury,,,
bushel,bushel,,,
bushwhack,bushwhack,,,
business,business,,,
business leader,business leader,,,
businessperson,businessperson,,,
bust,bust,,,
bustle about,bustle about,,,
busy,busy,,,
busybodied,busybodied,,,
butcher,butcher,,,
butchery,butchery,,,
butt,butt,,,
butt against,butt against,,,
butt on,butt on,,,
buttery,buttery,,,
buy the farm,buy the farm,,,
buzz,buzz,,,
buzzword,buzzword,,,
by-product,by-product,,,
byword,byword,,,
cabal,cabal,,,
cabbage,cabbage,,,
cache,cache,,,
cacophonic,cacophonic,,,
cacophony,cacophony,,,
cadaverous,cadaverous,,,
caesarism,Caesarism,,,
cagey,cagey,,,
cagy,cagy,,,
cajole,cajole,,,
calamity,calamity,,,
calculated,calculated,,,
calibre,calibre,,,
calk,calk,,,
call,call,,,
call back,call back,,,
call down,call down,,,
call for,call for,,,
call forth,call forth,,,
call on the carpet,call on the carpet,,,
call out,call out,,,
call up,call up,,,
calling,calling,,,
calm,calm,,,
calmness,calmness,,,
caloric,caloric,,,
calumniate,calumniate,,,
calumniation,calumniation,,,
camarilla,camarilla,,,
camp,camp,,,
candent,candent,,,
candidness,candidness,,,
candour,candour,,,
canine tooth,canine tooth,,,
canny,canny,,,
canon,canon,,,
cantonment,cantonment,,,
canvas,canvas,,,
caparison,caparison,,,
capital of new hampshire,capital of New Hampshire,,,
capitalist economy,capitalist economy,,,
capricious,capricious,,,
capriciousness,capriciousness,,,
captivation,captivation,,,
captive,captive,,,
capture,capture,,,
carcase,carcase,,,
cardinal,cardinal,,,
care for,care for,,,
careen,careen,,,
career,career,,,
carefree,carefree,,,
careful,careful,,,
carefulness,carefulness,,,
careless,careless,,,
carelessness,carelessness,,,
careworn,careworn,,,
cark,cark,,,
carnal,carnal,,,
carry,carry,,,
carry off,carry off,,,
carry on,carry on,,,
carry out,carry out,,,
carry through,carry through,,,
carve,carve,,,
cascade down,cascade down,,,
case in point,case in point,,,
cash in one’s chips,cash in one’s chips,,,
caskful,caskful,,,
cast,cast,,,
cast aside,cast aside,,,
cast away,cast away,,,
cast down,cast down,,,
cast out,cast out,,,
castaway,castaway,,,
castigate,castigate,,,
castle in spain,castle in Spain,,,
castle in the air,castle in the air,,,
castrate,castrate,,,
casually,casually,,,
cataclysm,cataclysm,,,
catch,catch,,,
catching,catching,,,
categoric,categoric,,,
categorisation,categorisation,,,
categorise,categorise,,,
categorization,categorization,,,
categorize,categorize,,,
catholicity,catholicity,,,
causal factor,causal factor,,,
cause,cause,,,
causeless,causeless,,,
caustic,caustic,,,
caustic remark,caustic remark,,,
cave in,cave in,,,
cavil,cavil,,,
cavort,cavort,,,
cease-fire,cease-fire,,,
ceaseless,ceaseless,,,
ceding,ceding,,,
celebrated,celebrated,,,
celebrity,celebrity,,,
cell,cell,,,
cellular respiration,cellular respiration,,,
censor,censor,,,
censurable,censurable,,,
center,center,,,
central,central,,,
centre,centre,,,
centripetal,centripetal,,,
certify,certify,,,
chafe,chafe,,,
chaffer,chaffer,,,
chagrin,chagrin,,,
challenge,challenge,,,
challenging,challenging,,,
champ,champ,,,
championship,championship,,,
chance,chance,,,
change,change,,,
change belief,change belief,,,
change by reversal,change by reversal,,,
changeable,changeable,,,
changeless,changeless,,,
channelise,channelise,,,
channelize,channelize,,,
chant,chant,,,
chap,chap,,,
chaperone,chaperone,,,
character,character,,,
characterise,characterise,,,
characterless,characterless,,,
charade,charade,,,
charitable woman,charitable woman,,,
charm,charm,,,
chartless,chartless,,,
chase away,chase away,,,
chasten,chasten,,,
chatter,chatter,,,
chatty,chatty,,,
cheap,cheap,,,
cheat,cheat,,,
check,check,,,
cheekiness,cheekiness,,,
chemistry,chemistry,,,
cherished,cherished,,,
chesty,chesty,,,
chevvy,chevvy,,,
chevy,chevy,,,
chew out,chew out,,,
chew over,chew over,,,
chew up,chew up,,,
chewing out,chewing out,,,
chicane,chicane,,,
chide,chide,,,
childbirth,childbirth,,,
chimeral,chimeral,,,
chimeric,chimeric,,,
chip,chip,,,
chirography,chirography,,,
chiseler,chiseler,,,
chiseller,chiseller,,,
chivvy,chivvy,,,
chivy,chivy,,,
choke,choke,,,
choler,choler,,,
choose,choose,,,
chorus,chorus,,,
chromaticity,chromaticity,,,
chronically,chronically,,,
chuck out,chuck out,,,
chuckle,chuckle,,,
chum,chum,,,
chumminess,chumminess,,,
churl,churl,,,
churn,churn,,,
churrigueresco,churrigueresco,,,
churrigueresque,churrigueresque,,,
cinch,cinch,,,
circle,circle,,,
circularise,circularise,,,
circularize,circularize,,,
circumstances,circumstances,,,
cisterna,cisterna,,,
citation,citation,,,
citrous fruit,citrous fruit,,,
citrus fruit,citrus fruit,,,
civilised,civilised,,,
civilized,civilized,,,
clack,clack,,,
claim,claim,,,
clamant,clamant,,,
clammy,clammy,,,
clamor,clamor,,,
clamorous,clamorous,,,
clamour,clamour,,,
clang,clang,,,
clangoring,clangoring,,,
clangour,clangour,,,
clank,clank,,,
clap,clap,,,
claptrap,claptrap,,,
clash,clash,,,
clasp,clasp,,,
class,class,,,
clay,clay,,,
clean,clean,,,
clean up,clean up,,,
clear,clear,,,
clear up,clear up,,,
clearness,clearness,,,
cliched,cliched,,,
climatical,climatical,,,
climb up,climb up,,,
climb-down,climb-down,,,
clime,clime,,,
cling,cling,,,
cloak-and-dagger,cloak-and-dagger,,,
clod,clod,,,
close,close,,,
close at hand,close at hand,,,
closed book,closed book,,,
closelipped,closelipped,,,
closemouthed,closemouthed,,,
closeness,closeness,,,
closet,closet,,,
clot,clot,,,
clothe,clothe,,,
clotheshorse,clotheshorse,,,
cloud nine,cloud nine,,,
cloudburst,cloudburst,,,
cloudy,cloudy,,,
clown,clown,,,
cloying,cloying,,,
clump,clump,,,
clumsiness,clumsiness,,,
clumsy,clumsy,,,
clunky,clunky,,,
clustering,clustering,,,
clutch,clutch,,,
clutter,clutter,,,
co-occur,co-occur,,,
co-occurrence,co-occurrence,,,
co-occurrent,co-occurrent,,,
co-worker,co-worker,,,
coagulated,coagulated,,,
coalesce,coalesce,,,
coat,coat,,,
cobwebby,cobwebby,,,
cock,cock,,,
cocker,cocker,,,
cockeyed,cockeyed,,,
cockle,cockle,,,
cocksureness,cocksureness,,,
coconspirator,coconspirator,,,
cod,cod,,,
coda,coda,,,
coddle,coddle,,,
code,code,,,
coextensive,coextensive,,,
cogency,cogency,,,
cognisance,cognisance,,,
cognoscente,cognoscente,,,
coherence,coherence,,,
coherency,coherency,,,
cohesiveness,cohesiveness,,,
coinage,coinage,,,
coincidence,coincidence,,,
coincident,coincident,,,
coincidental,coincidental,,,
coinciding,coinciding,,,
cold,cold,,,
cold-eyed,cold-eyed,,,
collar,collar,,,
collect,collect,,,
collection,collection,,,
collision,collision,,,
collocation,collocation,,,
coltish,coltish,,,
combative,combative,,,
combine,combine,,,
combustible material,combustible material,,,
come across,come across,,,
come back,come back,,,
come down,come down,,,
come out,come out,,,
come through,come through,,,
come to,come to,,,
come up,come up,,,
come up to,come up to,,,
come with,come with,,,
comeback,comeback,,,
comestible,comestible,,,
comfort,comfort,,,
comfy,comfy,,,
coming,coming,,,
command,command,,,
comme il faut,comme il faut,,,
commingle,commingle,,,
commit,commit,,,
committed,committed,,,
commix,commix,,,
common,common,,,
commonplace,commonplace,,,
commove,commove,,,
communication,communication,,,
compact,compact,,,
compaction,compaction,,,
compare,compare,,,
compartmentalisation,compartmentalisation,,,
compartmentalization,compartmentalization,,,
compass,compass,,,
compassionateness,compassionateness,,,
compendious,compendious,,,
compensable,compensable,,,
compile,compile,,,
complacence,complacence,,,
complaint,complaint,,,
complementary color,complementary color,,,
complex,complex,,,
complexness,complexness,,,
compliance,compliance,,,
compliancy,compliancy,,,
complot,complot,,,
component,component,,,
composition,composition,,,
comprehend,comprehend,,,
comprehension,comprehension,,,
comprehensiveness,comprehensiveness,,,
compromising,compromising,,,
comptroller,comptroller,,,
compulsion,compulsion,,,
compulsory,compulsory,,,
compunction,compunction,,,
comrade,comrade,,,
comradeliness,comradeliness,,,
comradery,comradery,,,
comradeship,comradeship,,,
conceit,conceit,,,
conceited,conceited,,,
conceive of,conceive of,,,
concentrated,concentrated,,,
conceptualise,conceptualise,,,
conceptualize,conceptualize,,,
concern,concern,,,
concerted,concerted,,,
conciliate,conciliate,,,
concomitant,concomitant,,,
concourse,concourse,,,
concretion,concretion,,,
concurrence,concurrence,,,
concurrent,concurrent,,,
condemnable,condemnable,,,
condemning,condemning,,,
condensation,condensation,,,
condition,condition,,,
condole with,condole with,,,
conduct,conduct,,,
confab,confab,,,
confabulate,confabulate,,,
confederation,confederation,,,
confess,confess,,,
confide,confide,,,
confidence,confidence,,,
confirm,confirm,,,
conflate,conflate,,,
conflict,conflict,,,
conformable,conformable,,,
conformance,conformance,,,
confound,confound,,,
confusedness,confusedness,,,
confute,confute,,,
conglomerate,conglomerate,,,
congratulations,congratulations,,,
congruous,congruous,,,
conjectural,conjectural,,,
conjecture,conjecture,,,
conjunct,conjunct,,,
conjunctive,conjunctive,,,
conjuration,conjuration,,,
conjure,conjure,,,
conjure up,conjure up,,,
conk,conk,,,
connate,connate,,,
conniption,conniption,,,
connote,connote,,,
conscienceless,conscienceless,,,
consciousness,consciousness,,,
consecrate,consecrate,,,
consentaneous,consentaneous,,,
consentient,consentient,,,
conservativism,conservativism,,,
conservator,conservator,,,
consignment,consignment,,,
consist,consist,,,
consistence,consistence,,,
consistent,consistent,,,
consonant rhyme,consonant rhyme,,,
consort,consort,,,
conspicuous,conspicuous,,,
conspiracy,conspiracy,,,
constant,constant,,,
constitute,constitute,,,
constitution,constitution,,,
constitutional,constitutional,,,
construe,construe,,,
consult,consult,,,
contagious,contagious,,,
contagious disease,contagious disease,,,
contamination,contamination,,,
contemn,contemn,,,
contemplative,contemplative,,,
contend,contend,,,
contender,contender,,,
contention,contention,,,
conterminous,conterminous,,,
contestant,contestant,,,
contestation,contestation,,,
contingence,contingence,,,
continuance,continuance,,,
continue,continue,,,
continuous,continuous,,,
contract,contract,,,
contractable,contractable,,,
contributing,contributing,,,
contributive,contributive,,,
contributory,contributory,,,
contrive,contrive,,,
contrived,contrived,,,
control,control,,,
controller,controller,,,
controlling,controlling,,,
conversance,conversance,,,
conversancy,conversancy,,,
conversational,conversational,,,
convert,convert,,,
convey,convey,,,
convolute,convolute,,,
convolution,convolution,,,
convolve,convolve,,,
convulsion,convulsion,,,
cooccur,cooccur,,,
cooccurring,cooccurring,,,
cool,cool,,,
cooperate,cooperate,,,
cop,cop,,,
copulate,copulate,,,
copy,copy,,,
cordial reception,cordial reception,,,
cordiality,cordiality,,,
core,core,,,
cornucopia,cornucopia,,,
corona,corona,,,
coronach,coronach,,,
corporate,corporate,,,
corpse,corpse,,,
corpulent,corpulent,,,
corpuscle,corpuscle,,,
corrade,corrade,,,
corrasion,corrasion,,,
correct,correct,,,
correct a situation; make something right,correct a situation; make something right,,,
