word,display_form,part_of_speech,difficulty,frequency_rank
autobiography,autobiography,n,SAT,
automate,automate,v,hard,
autonomous,autonomous,adj,SAT,
autopsy,autopsy,n,SAT,
avail,avail,v,SAT,
avalanche,avalanche,v,SAT,
avarice,avarice,n,SAT,
avenge,avenge,v,SAT,
avenger,avenger,n,SAT,
averse,averse,adj,SAT,
aversion,aversion,n,SAT,
avert,avert,v,SAT,
aviary,aviary,n,SAT,
avid,avid,adj,SAT,
avocation,avocation,,SAT,
avoidance,avoidance,n,SAT,
avow,avow,v,SAT,
avuncular,avuncular,adj,SAT,
awaken,awaken,v,SAT,
awe,awe,n,SAT,
axiomatic,axiomatic,adj,SAT,
azure,azure,v,SAT,
babble,babble,v,SAT,
backlash,backlash,v,SAT,
backwater,backwater,n,SAT,
badger,badger,v,SAT,
bait,bait,v,SAT,
ballad,ballad,n,SAT,
ballast,ballast,n,SAT,
balm,balm,n,SAT,
balmy,balmy,adj,SAT,
ban,ban,v,hard,
banal,banal,adj,SAT,
bandy,bandy,v,SAT,
bane,bane,n,SAT,
bankrupt,bankrupt,v,SAT,
banter,banter,n,SAT,
barb,barb,n,SAT,
bard,bard,v,SAT,
baroque,baroque,adj,SAT,
barrage,barrage,n,SAT,
barren,barren,n,SAT,
barrier,barrier,n,hard,
barter,barter,v,SAT,
bask,bask,v,SAT,
bate,bate,,SAT,
bawdy,bawdy,adj,SAT,
bedizen,bedizen,,SAT,
beeline,beeline,,SAT,
befall,befall,v,SAT,
beget,beget,v,SAT,
begrudge,begrudge,v,SAT,
behalf,behalf,n,hard,
beholder,beholder,n,SAT,
belabor,belabor,v,SAT,
belated,belated,adj,SAT,
belief,belief,n,hard,
bellicose,bellicose,,SAT,
belligerence,belligerence,n,SAT,
belligerent,belligerent,adj,SAT,
bemoan,bemoan,v,SAT,
bemuse,bemuse,,SAT,
benefactor,benefactor,n,SAT,
beneficent,beneficent,adj,SAT,
beneficial,beneficial,adj,hard,
beneficiary,beneficiary,n,hard,
benevolent,benevolent,adj,SAT,
benign,benign,adj,SAT,
bent,bent,,SAT,
bequeath,bequeath,v,SAT,
bereave,bereave,,SAT,
bereavement,bereavement,n,SAT,
berserk,berserk,n,SAT,
beseech,beseech,v,SAT,
bespeak,bespeak,v,SAT,
bestial,bestial,adj,SAT,
bestow,bestow,v,SAT,
betray,betray,v,SAT,
betroth,betroth,v,SAT,
bevy,bevy,n,SAT,
bias,bias,n,hard,
bicker,bicker,v,SAT,
bifurcation,bifurcation,n,SAT,
bigot,bigot,n,SAT,
bigotry,bigotry,n,SAT,
bilious,bilious,adj,SAT,
bitter,bitter,adj,hard,
bivouac,bivouac,n,SAT,
bizarre,bizarre,adj,hard,
blanch,blanch,v,SAT,
bland,bland,adj,SAT,
blandish,blandish,,SAT,
blandishment,blandishment,,SAT,
blase,blase,adj,SAT,
blasphemy,blasphemy,n,SAT,
blatant,blatant,adj,SAT,
blaze,blaze,v,SAT,
bleak,bleak,adj,SAT,
blend,blend,v,hard,
bliss,bliss,n,SAT,
blithe,blithe,adj,SAT,
blizzard,blizzard,n,SAT,
bloat,bloat,,SAT,
bloom,bloom,v,hard,
bludgeon,bludgeon,n,SAT,
bluff,bluff,n,SAT,
blunder,blunder,n,SAT,
blurt,blurt,v,SAT,
boast,boast,v,SAT,
bode,bode,v,SAT,
bogus,bogus,adj,SAT,
bolster,bolster,v,SAT,
bolt,bolt,v,hard,
bombast,bombast,n,SAT,
bombastic,bombastic,adj,SAT,
bonanza,bonanza,n,SAT,
boom,boom,v,hard,
boomerang,boomerang,v,SAT,
boon,boon,n,SAT,
boor,boor,n,SAT,
bore,bore,,hard,
boredom,boredom,n,SAT,
bough,bough,n,SAT,
boundless,boundless,,hard,
bountiful,bountiful,,SAT,
bounty,bounty,n,SAT,
bourgeois,bourgeois,n,SAT,
bovine,bovine,adj,SAT,
bower,bower,n,SAT,
boycott,boycott,v,SAT,
brace,brace,v,SAT,
braggart,braggart,n,SAT,
brandish,brandish,v,SAT,
bravado,bravado,n,SAT,
brawl,brawl,v,SAT,
brawn,brawn,n,SAT,
brazen,brazen,adj,SAT,
breach,breach,v,hard,
breadth,breadth,n,SAT,
breakthrough,breakthrough,n,SAT,
brevity,brevity,n,SAT,
brilliant,brilliant,adj,hard,
brisk,brisk,adj,SAT,
brittle,brittle,adj,SAT,
broach,broach,v,SAT,
broaden,broaden,v,SAT,
brochure,brochure,n,hard,
broken,broken,,hard,
bromide,bromide,n,SAT,
brooch,brooch,v,SAT,
brood,brood,n,SAT,
brook,brook,n,hard,
brunt,brunt,,SAT,
buffet,buffet,v,SAT,
buffoon,buffoon,n,SAT,
bugle,bugle,n,SAT,
bulk,bulk,n,hard,
bullion,bullion,n,SAT,
bully,bully,n,SAT,
bulwark,bulwark,v,SAT,
bungler,bungler,n,SAT,
buoy,buoy,v,SAT,
buoyancy,buoyancy,n,SAT,
burden,burden,n,hard,
bureaucracy,bureaucracy,n,SAT,
bureaucratic,bureaucratic,adj,SAT,
bureaucratization,bureaucratization,,SAT,
burgeon,burgeon,v,SAT,
burly,burly,adj,SAT,
burnish,burnish,v,SAT,
burrow,burrow,n,SAT,
bustle,bustle,v,SAT,
buttress,buttress,v,SAT,
buxom,buxom,,SAT,
bygone,bygone,n,SAT,
bypass,bypass,v,SAT,
byproduct,byproduct,n,SAT,
bystander,bystander,n,SAT,
byzantine,byzantine,n,SAT,
cacophonous,cacophonous,adj,SAT,
cadaver,cadaver,n,SAT,
cadence,cadence,n,SAT,
calamitous,calamitous,adj,SAT,
calculable,calculable,adj,SAT,
caliber,caliber,n,SAT,
calligraphy,calligraphy,n,SAT,
callous,callous,adj,SAT,
callow,callow,adj,SAT,
calumny,calumny,n,SAT,
camaraderie,camaraderie,n,SAT,
cameo,cameo,n,SAT,
camouflage,camouflage,v,SAT,
candid,candid,adj,SAT,
candor,candor,n,SAT,
canine,canine,n,SAT,
cannibal,cannibal,n,SAT,
cannibalistic,cannibalistic,adj,SAT,
cant,cant,n,hard,
cantankerous,cantankerous,adj,SAT,
cantata,cantata,n,SAT,
canter,canter,v,SAT,
canto,canto,n,SAT,
canvass,canvass,v,SAT,
canyon,canyon,n,hard,
capable,capable,adj,hard,
capacious,capacious,adj,SAT,
capitalism,capitalism,n,SAT,
capitulate,capitulate,v,SAT,
caprice,caprice,n,SAT,
capsize,capsize,v,SAT,
capsule,capsule,,hard,
caption,caption,v,hard,
captious,captious,adj,SAT,
captivate,captivate,v,SAT,
carat,carat,n,SAT,
carcass,carcass,n,SAT,
cardiologist,cardiologist,n,SAT,
caress,caress,v,SAT,
cargo,cargo,n,hard,
caricature,caricature,v,SAT,
carnage,carnage,n,SAT,
carnivore,carnivore,n,SAT,
carp,carp,v,SAT,
cascade,cascade,v,SAT,
cask,cask,n,SAT,
caste,caste,,SAT,
castigation,castigation,n,SAT,
casual,casual,adj,hard,
casualty,casualty,n,SAT,
catalyst,catalyst,n,hard,
catapult,catapult,v,SAT,
catastrophe,catastrophe,n,SAT,
catcall,catcall,n,SAT,
categorical,categorical,adj,SAT,
cater,cater,v,hard,
catharsis,catharsis,n,SAT,
cathartic,cathartic,n,SAT,
catholic,catholic,n,hard,
caucus,caucus,v,SAT,
caulk,caulk,v,SAT,
causal,causal,adj,SAT,
cautious,cautious,adj,SAT,
cease,cease,v,hard,
cede,cede,v,SAT,
celebrate,celebrate,v,hard,
celibate,celibate,n,SAT,
cellular,cellular,adj,hard,
censorious,censorious,adj,SAT,
censure,censure,n,SAT,
census,census,n,hard,
cerebral,cerebral,,SAT,
certainty,certainty,n,SAT,
certitude,certitude,n,SAT,
cessation,cessation,n,SAT,
cession,cession,n,SAT,
chaff,chaff,v,SAT,
chalice,chalice,n,SAT,
chameleon,chameleon,n,SAT,
champion,champion,n,hard,
chaos,chaos,n,hard,
chaotic,chaotic,adj,SAT,
chaperon,chaperon,v,SAT,
characterize,characterize,v,hard,
charisma,charisma,n,SAT,
charismatic,charismatic,adj,SAT,
charitable,charitable,adj,SAT,
charity,charity,n,hard,
charlatan,charlatan,n,SAT,
charter,charter,n,hard,
chary,chary,adj,SAT,
chasm,chasm,n,SAT,
chassis,chassis,n,SAT,
chaste,chaste,adj,SAT,
chastise,chastise,v,SAT,
chauvinist,chauvinist,n,SAT,
cheapen,cheapen,v,SAT,
cheer,cheer,n,hard,
cherish,cherish,v,SAT,
chicanery,chicanery,n,SAT,
chimerical,chimerical,adj,SAT,
chisel,chisel,n,SAT,
chivalrous,chivalrous,adj,SAT,
choleric,choleric,adj,SAT,
chortle,chortle,v,SAT,
chronic,chronic,adj,hard,
chronicle,chronicle,v,hard,
chronological,chronological,adj,SAT,
chronology,chronology,n,SAT,
cipher,cipher,v,SAT,
circuitous,circuitous,adj,SAT,
circulate,circulate,v,SAT,
circumlocution,circumlocution,n,SAT,
circumscribe,circumscribe,v,SAT,
circumspect,circumspect,adj,SAT,
circumstance,circumstance,n,hard,
circumstantial,circumstantial,adj,SAT,
circumvent,circumvent,v,SAT,
cistern,cistern,n,SAT,
citadel,citadel,n,SAT,
cite,cite,v,hard,
citrus,citrus,n,SAT,
clairvoyant,clairvoyant,n,SAT,
clamber,clamber,v,SAT,
clandestine,clandestine,adj,SAT,
clangor,clangor,n,SAT,
clapper,clapper,n,SAT,
clarification,clarification,n,SAT,
clarify,clarify,v,hard,
clarity,clarity,n,hard,
classification,classification,n,hard,
classify,classify,v,hard,
clause,clause,n,hard,
claustrophobia,claustrophobia,n,SAT,
cleanse,cleanse,v,SAT,
cleave,cleave,v,SAT,
cleft,cleft,,SAT,
clemency,clemency,n,SAT,
clever,clever,adj,SAT,
cliche,cliche,n,SAT,
clientele,clientele,n,SAT,
climactic,climactic,adj,SAT,
climate,climate,n,hard,
climatic,climatic,adj,SAT,
climax,climax,v,SAT,
climb,climb,v,hard,
clique,clique,n,SAT,
cloak,cloak,n,SAT,
cloud,cloud,n,hard,
clout,clout,v,SAT,
cloy,cloy,,SAT,
cluster,cluster,n,hard,
coagulate,coagulate,v,SAT,
coalition,coalition,n,hard,
coarse,coarse,adj,SAT,
coastline,coastline,n,SAT,
coax,coax,v,SAT,
codicil,codicil,n,SAT,
codify,codify,v,SAT,
coerce,coerce,v,SAT,
coercion,coercion,n,SAT,
coercive,coercive,adj,SAT,
cogent,cogent,adj,SAT,
cogitate,cogitate,v,SAT,
cognate,cognate,adj,SAT,
cognition,cognition,n,SAT,
cognitive,cognitive,adj,hard,
cognizance,cognizance,n,SAT,
cohere,cohere,v,SAT,
coherent,coherent,adj,SAT,
cohesion,cohesion,n,SAT,
coincide,coincide,v,SAT,
collaborate,collaborate,v,SAT,
collaborative,collaborative,adj,hard,
collage,collage,n,SAT,
collapse,collapse,v,hard,
collate,collate,v,SAT,
colleague,colleague,n,hard,
collective,collective,adj,hard,
collide,collide,v,SAT,
colloquial,colloquial,adj,SAT,
collusion,collusion,n,SAT,
colonial,colonial,adj,hard,
colossal,colossal,,SAT,
combat,combat,n,hard,
combatant,combatant,adj,SAT,
combustible,combustible,n,SAT,
comely,comely,adj,SAT,
comfortable,comfortable,adj,hard,
commandeer,commandeer,v,SAT,
commemorate,commemorate,v,SAT,
commence,commence,v,hard,
commend,commend,v,SAT,
commendable,commendable,adj,SAT,
commendation,commendation,n,SAT,
commensurate,commensurate,adj,SAT,
commiserate,commiserate,v,SAT,
commodity,commodity,n,hard,
communal,communal,adj,SAT,
communicable,communicable,adj,SAT,
communicate,communicate,v,hard,
companion,companion,n,hard,
comparable,comparable,adj,hard,
comparative,comparative,adj,hard,
compassion,compassion,n,SAT,
compassionate,compassionate,v,SAT,
compatriot,compatriot,n,SAT,
compel,compel,v,SAT,
compelling,compelling,,SAT,
compendium,compendium,n,SAT,
compensate,compensate,v,SAT,
compensation,compensation,n,hard,
compete,compete,v,hard,
competent,competent,adj,SAT,
complacency,complacency,n,SAT,
complacent,complacent,adj,SAT,
complaisance,complaisance,n,SAT,
complaisant,complaisant,adj,SAT,
complement,complement,n,hard,
complementary,complementary,n,SAT,
complexity,complexity,n,hard,
compliant,compliant,adj,hard,
complicate,complicate,v,hard,
complication,complication,n,hard,
complicity,complicity,n,SAT,
compliment,compliment,n,SAT,
complimentary,complimentary,adj,SAT,
comply,comply,v,hard,
compose,compose,v,hard,
composite,composite,n,hard,
composure,composure,n,SAT,
compound,compound,v,hard,
compress,compress,v,hard,
compression,compression,n,hard,
comprise,comprise,v,hard,
compromise,compromise,n,hard,
compulsive,compulsive,adj,SAT,
concave,concave,adj,SAT,
conceal,conceal,v,SAT,
concealment,concealment,n,SAT,
concede,concede,v,SAT,
conceivable,conceivable,adj,SAT,
conceive,conceive,v,SAT,
concentrate,concentrate,v,hard,
concentration,concentration,n,hard,
conceptual,conceptual,adj,SAT,
concession,concession,n,SAT,
conciliatory,conciliatory,adj,SAT,
concise,concise,adj,SAT,
conclude,conclude,v,hard,
conclusive,conclusive,,SAT,
concoct,concoct,v,SAT,
concord,concord,n,SAT,
concordance,concordance,n,SAT,
concordant,concordant,,SAT,
concrete,concrete,n,hard,
concur,concur,v,SAT,
condemn,condemn,v,SAT,
condemnatory,condemnatory,adj,SAT,
condense,condense,v,SAT,
condescend,condescend,v,SAT,
condescension,condescension,n,SAT,
conditional,conditional,adj,SAT,
condole,condole,,SAT,
condone,condone,v,SAT,
conducive,conducive,adj,SAT,
conduit,conduit,n,SAT,
confer,confer,v,SAT,
confident,confident,adj,hard,
confidential,confidential,adj,hard,
confidentiality,confidentiality,n,SAT,
confine,confine,v,SAT,
confiscate,confiscate,v,SAT,
conflagration,conflagration,n,SAT,
confluence,confluence,n,SAT,
conform,conform,v,hard,
conformism,conformism,,SAT,
conformist,conformist,n,SAT,
conformity,conformity,n,SAT,
confront,confront,v,SAT,
confrontation,confrontation,n,SAT,
confrontational,confrontational,adj,SAT,
confuse,confuse,v,hard,
confusion,confusion,n,hard,
congeal,congeal,v,SAT,
congenial,congenial,adj,SAT,
congenital,congenital,adj,SAT,
congest,congest,,SAT,
congestion,congestion,n,SAT,
congregate,congregate,v,SAT,
congressional,congressional,adj,hard,
congruent,congruent,adj,SAT,
congruity,congruity,,SAT,
conifer,conifer,,SAT,
conjoin,conjoin,v,SAT,
conjunction,conjunction,n,hard,
connive,connive,v,SAT,
connoisseur,connoisseur,n,SAT,
connotation,connotation,n,SAT,
conquer,conquer,v,SAT,
conscientious,conscientious,adj,SAT,
conscript,conscript,v,SAT,
consecutive,consecutive,adj,hard,
consensus,consensus,n,hard,
consent,consent,n,hard,
consequence,consequence,n,hard,
consequent,consequent,adj,hard,
consequential,consequential,adj,SAT,
conservation,conservation,n,hard,
conservationist,conservationist,n,SAT,
conservatism,conservatism,n,SAT,
conservative,conservative,adj,hard,
conserve,conserve,v,SAT,
considerable,considerable,adj,hard,
consign,consign,v,SAT,
consistency,consistency,n,SAT,
console,console,v,hard,
consolidate,consolidate,v,hard,
consolidation,consolidation,n,hard,
consonance,consonance,n,SAT,
conspirator,conspirator,n,SAT,
conspire,conspire,v,SAT,
consternation,consternation,n,SAT,
constituent,constituent,n,SAT,
constrain,constrain,v,SAT,
constraint,constraint,n,hard,
construct,construct,v,hard,
constructive,constructive,adj,SAT,
consultation,consultation,n,hard,
consume,consume,v,hard,
consumerism,consumerism,n,SAT,
consummate,consummate,v,SAT,
consumption,consumption,n,hard,
contagion,contagion,n,SAT,
contaminate,contaminate,v,SAT,
contemplate,contemplate,v,SAT,
contempt,contempt,n,SAT,
contemptible,contemptible,adj,SAT,
contemptuous,contemptuous,adj,SAT,
contentious,contentious,adj,SAT,
contiguous,contiguous,adj,SAT,
continental,continental,adj,hard,
contingency,contingency,n,SAT,
contingent,contingent,n,SAT,
continual,continual,adj,hard,
continuation,continuation,n,SAT,
contortion,contortion,n,SAT,
contour,contour,,SAT,
contradict,contradict,v,SAT,
contradictory,contradictory,adj,SAT,
contrary,contrary,adj,hard,
contrast,contrast,n,hard,
contravene,contravene,v,SAT,
contrite,contrite,adj,SAT,
controversial,controversial,adj,SAT,
controversy,controversy,n,SAT,
conundrum,conundrum,n,SAT,
convalesce,convalesce,v,SAT,
convene,convene,v,SAT,
convenience,convenience,n,hard,
convenient,convenient,adj,hard,
conventional,conventional,adj,hard,
converge,converge,v,SAT,
convergence,convergence,n,SAT,
convergent,convergent,adj,SAT,
converse,converse,v,SAT,
convex,convex,adj,SAT,
conviction,conviction,n,hard,
convince,convince,v,hard,
convivial,convivial,,SAT,
convoke,convoke,,SAT,
convoluted,convoluted,v,SAT,
cooperative,cooperative,adj,hard,
coordinate,coordinate,v,hard,
cope,cope,v,hard,
copious,copious,adj,SAT,
cordial,cordial,adj,SAT,
cordon,cordon,n,SAT,
corollary,corollary,n,SAT,
corpulence,corpulence,n,SAT,
corrective,corrective,n,SAT,
correlate,correlate,v,SAT,
correlation,correlation,n,hard,
corrode,corrode,v,SAT,
corrosive,corrosive,adj,SAT,
corrugate,corrugate,,SAT,
corrupt,corrupt,adj,SAT,
corruption,corruption,n,hard,
cosmetic,cosmetic,n,hard,
